"Time, min.","VTAS, fps",Mach No.,"Altitude, ft","Climb Rate, Feet per Minute",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag,Wing Profile Drag,Fuselage Profile Drag,Fuselage Skin Friction,Reynolds Number,"Weight, Lbs","HEx Drag, lbs","FC Power Available, Watts","FC Power Required, Watts","Thrust Available, Lb","Thrust Required, Lb","Thrust Commanded, Lb","Thrust Power Commanded, Watts","Motor Power Commanded, Watts","Fuel Cell Power Commanded, Watts",TSFC lb/lbf-hr
260,748.442203630972,0.773,37000,0,0.0288253096329082,0.526456500956625,0,0,0,0,0,0,16834828.8030744,183339.150012722,602.2268765933,23201213.0933202,15483437.9481496,15776.7475819819,10642.3541777043,10642.3541777043,10799200.551659,14081039.8121016,15483437.9481496,4.79470821634446e-05
261,748.442203630972,0.773,37000,0,0.0288217918726283,0.526368601558083,0,0,0,0,0,0,16834828.8030744,183308.539739815,601.85498349584,23201213.0933202,15481149.9404108,15776.7475819819,10640.7570155126,10640.7570155126,10797579.8505873,14078815.3728369,15481149.9404108,4.79450112767309e-05
262,748.442203630972,0.773,37000,0,0.0288182755242745,0.526280719147033,0,0,0,0,0,0,16834828.8030744,183277.9353809,601.483239889218,23201213.0933202,15478862.851332,15776.7475819819,10639.1604945989,10639.1604945989,10795959.8002447,14076591.8267087,15478862.851332,4.79429414429734e-05
263,748.442203630972,0.773,37000,0,0.028814760585657,0.526192853715111,0,0,0,0,0,0,16834828.8030744,183247.336933065,601.111645541707,23201213.0933202,15476576.6794886,15776.7475819819,10637.5646139688,10637.5646139688,10794340.3996221,14074369.1723321,15476576.6794886,4.79408726606008e-05
264,748.442203630972,0.773,37000,0,0.0288112470545886,0.526105005253965,0,0,0,0,0,0,16834828.8030744,183216.744393407,600.740200221843,23201213.0933202,15474291.4234578,15776.7475819819,10635.9693726289,10635.9693726289,10792721.6477116,14072147.4083237,15474291.4234578,4.79388049280442e-05
265,748.442203630972,0.773,37000,0,0.0288077349288845,0.526017173755253,0,0,0,0,0,0,16834828.8030744,183186.157759024,600.368903698436,23201213.0933202,15472007.0818181,15776.7475819819,10634.3747695872,10634.3747695872,10791103.5435064,14069926.5333016,15472007.0818181,4.79367382437367e-05
266,748.442203630972,0.773,37000,0,0.0288042242063625,0.525929359210649,0,0,0,0,0,0,16834828.8030744,183155.57702702,599.997755740554,23201213.0933202,15469723.65315,15776.7475819819,10632.7808038526,10632.7808038526,10789486.086001,14067706.5458857,15469723.65315,4.79346726061138e-05
267,748.442203630972,0.773,37000,0,0.028800714884843,0.525841561611837,0,0,0,0,0,0,16834828.8030744,183125.002194504,599.626756117536,23201213.0933202,15467441.1360352,15776.7475819819,10631.1874744352,10631.1874744352,10787869.2741907,14065487.4446972,15467441.1360352,4.7932608013613e-05
268,748.442203630972,0.773,37000,0,0.0287972069621486,0.525753780950515,0,0,0,0,0,0,16834828.8030744,183094.433258589,599.255904598987,23201213.0933202,15465159.5290576,15776.7475819819,10629.5947803462,10629.5947803462,10786253.1070723,14063269.2283591,15465159.5290576,4.79305444646742e-05
269,748.442203630972,0.773,37000,0,0.0287937004361048,0.525666017218394,0,0,0,0,0,0,16834828.8030744,183063.87021639,598.885200954777,23201213.0933202,15462878.8308022,15776.7475819819,10628.0027205982,10628.0027205982,10784637.5836438,14061051.895496,15462878.8308022,4.79284819577393e-05
